Kod F;Linia;Link
W-20NS0018;Flesco;https://www.nowystyl.com/getmedia/f00495fb-0193-4aee-b121-c08e84fe2e8c/flesco-frame-chair-cfa-uph-rx443000-48260-1.jpg
W-23NS0006;Mollen;https://www.nowystyl.com/getmedia/da74c1bc-9024-4442-b5c3-6caa42466ed7/04-mollen-sofa-3u000-43181-1.jpg?
